INSERT INTO Employee VALUES
('9870028105', 'Regular Employee'),
('2257797469', 'Receptionist'),
('2221868413', 'Doctor'),
('7417936765', 'Cashier'),
('5093124724', 'Cashier'),
('7793249250', 'Security Personnel'),
('6041318578', 'Cashier'),
('8030840338', 'Pharmacist'),
('0694980954', 'Doctor'),
('1716262758', 'Receptionist'),
('0960221279', 'Cashier'),
('1108451730', 'Security Personnel'),
('5856504126', 'Receptionist'),
('5531886753', 'Receptionist'),
('9814664072', 'Security Personnel'),
('0205970077', 'Receptionist'),
('1267802962', 'Pharmacist'),
('4420868235', 'Doctor'),
('7365026668', 'Doctor'),
('0181050279', 'Pharmacist'),
('5111453599', 'Nurse'),
('4736680095', 'Regular Employee'),
('4677110766', 'Doctor'),
('4826635732', 'Receptionist'),
('2283229751', 'Cashier'),
('0488962295', 'Cashier'),
('7750008493', 'Security Personnel'),
('1846896272', 'Regular Employee'),
('9455078721', 'Regular Employee'),
('4077841550', 'Pharmacist'),
('1396587158', 'Pharmacist'),
('0370854396', 'Administrative Personnel'),
('1653918339', 'Pharmacist'),
('3017793058', 'Administrative Personnel'),
('2899965168', 'Security Personnel');


INSERT INTO Employee VALUES
('7120556426', 'Cashier'),
('0752776916', 'Doctor'),
('7665443474', 'Pharmacist'),
('9541436091', 'Pharmacist'),
('2997169386', 'Pharmacist'),
('3855171212', 'Receptionist'),
('2349277104', 'Receptionist'),
('5572922290', 'Nurse'),
('0682248885', 'Nurse'),
('5102250690', 'Cashier'),
('0111865868', 'Security Personnel'),
('2659520585', 'Doctor'),
('8343896925', 'Receptionist'),
('0651969195', 'Regular Employee'),
('4726342736', 'Pharmacist'),
('6182231344', 'Security Personnel'),
('1321428712', 'Doctor'),
('4722656891', 'Regular Employee'),
('7399418838', 'Regular Employee'),
('0041452531', 'Doctor'),
('9800188146', 'Pharmacist'),
('4111336593', 'Nurse'),
('4848090124', 'Security Personnel'),
('7210255172', 'Pharmacist'),
('5321493701', 'Doctor'),
('3642153011', 'Doctor'),
('5609221678', 'Regular Employee'),
('9096493822', 'Doctor'),
('2155008988', 'Security Personnel'),
('2287295128', 'Security Personnel'),
('1943447373', 'Nurse'),
('2959395108', 'Administrative Personnel'),
('6340895686', 'Cashier'),
('2411145075', 'Cashier'),
('0386952416', 'Security Personnel');

INSERT INTO Employee VALUES
('5456005876', 'Administrative Personnel'),
('3798022544', 'Administrative Personnel'),
('2801369668', 'Regular Employee'),
('0877500574', 'Nurse'),
('5927540236', 'Doctor'),
