INSERT INTO Residence VALUES
('7777 Spruce Avenue', 'Victoriaville', 'Northwest Territories', 'T76 4G7', '4624995921', 5, 'House'),
('6217 Oak Drive', 'Kanata', 'Manitoba', 'R94 6A4', '3716949315', 6, 'Semi-Detached House'),
('3785 Magnolia Way', 'Quebec City', 'Prince Edward Island', 'V57 0C1', '9415004740', 6, 'Semi-Detached House'),
('8354 Cedar Circle', 'North Bay', 'Saskatchewan', 'X05 8H1', '2852982751', 5, 'Condominium'),
('3846 Oak Lane', 'Halifax', 'Northwest Territories', 'O48 4R0', '8465659399', 4, 'Condominium'),
('5744 Maple Street', 'Saint John', 'Prince Edward Island', 'W27 3T2', '8227012579', 1, 'Apartment'),
('2461 Hickory Court', 'Kitchener', 'Nova Scotia', 'U28 0H2', '2289486554', 2, 'House'),
('8642 Elm Way', 'Toronto', 'Northwest Territories', 'U89 4R1', '3377682752', 5, 'Semi-Detached House'),
('2581 Magnolia Terrace', 'Norfolk County', 'Newfoundland and Labrador', 'W78 2G9', '4081862801', 4, 'Condominium'),
('0127 Spruce Lane', 'Belleville', 'Quebec', 'F06 1V5', '2372312695', 4, 'Apartment'),
('9107 Pine Street', 'Lethbridge', 'New Brunswick', 'A91 0B8', '3550548654', 1, 'Semi-Detached House'),
('9030 Hickory Drive', 'White Rock', 'Nova Scotia', 'R86 7L2', '5267658520', 1, 'House'),
('0699 Birch Circle', 'Ottawa', 'New Brunswick', 'W06 3N9', '5996623601', 7, 'Apartment'),
('9577 Hickory Way', 'Vancouver', 'Nova Scotia', 'M56 6L5', '9632187137', 5, 'Apartment'),
('3633 Birch Court', 'Windsor', 'Quebec', 'T81 0M6', '8905793494', 4, 'Semi-Detached House'),
('5234 Maple Drive', 'Victoria', 'Ontario', 'L77 2P8', '5404352015', 4, 'Apartment'),
('3897 Elm Circle', 'Barrie', 'Quebec', 'G77 1X8', '8708816710', 5, 'House'),
('8616 Spruce Terrace', 'Brandon', 'Manitoba', 'R00 8D5', '5568268794', 1, 'Semi-Detached House'),
('6401 Pine Lane', 'Saint-Hyacinthe', 'Newfoundland and Labrador', 'K92 5I4', '3231557310', 5, 'Condominium'),
('0056 Magnolia Street', 'Red Deer', 'Quebec', 'D54 2O9', '4539545074', 4, 'Condominium'),
('9373 Spruce Street', 'Calgary', 'British Columbia', 'K78 4P0', '7208802682', 5, 'House'),
('2266 Birch Street', 'Saint-Jérôme', 'Alberta', 'P61 7M5', '3639112442', 2, 'Condominium'),
('2289 Elm Lane', 'Drummondville', 'Prince Edward Island', 'A67 8N5', '5274018005', 2, 'House'),
('8586 Cedar Road', 'Newmarket', 'Alberta', 'K96 4F7', '2702790382', 1, 'Condominium'),
('2655 Hickory Terrace', 'Edmonton', 'Manitoba', 'I15 5D7', '9170807302', 6, 'Semi-Detached House'),
('9640 Cedar Street', 'Hamilton', 'Alberta', 'H97 3O3', '9523081889', 7, 'Semi-Detached House'),
('7443 Willow Road', 'Montreal', 'Manitoba', 'F18 4P7', '9398357510', 5, 'House'),
('6978 Maple Avenue', 'Peterborough', 'Nova Scotia', 'C87 9L8', '2622073505', 5, 'Semi-Detached House'),
('8549 Hickory Circle', 'Sherbrooke', 'Nova Scotia', 'Z95 1O5', '6787492281', 6, 'Semi-Detached House'),
('0239 Hickory Avenue', 'Chicoutimi', 'Saskatchewan', 'S74 4K9', '9872546096', 6, 'Condominium'),
('4306 Spruce Circle', 'St. Johns', 'Nova Scotia', 'F19 5W0', '8332736713', 5, 'Apartment'),
('8988 Birch Boulevard', 'North Bay', 'Nova Scotia', 'U77 7T1', '3546509823', 7, 'Apartment'),
('8236 Cedar Drive', 'Saint-Jérôme', 'British Columbia', 'W44 1C9', '4643800251', 5, 'House'),
('4119 Cedar Lane', 'Lethbridge', 'Quebec', 'T17 4T9', '6624174929', 2, 'Condominium'),
('1438 Birch Way', 'White Rock', 'Quebec', 'B67 7L7', '5076658618', 7, 'Condominium'),
('1268 Birch Drive', 'Ottawa', 'Saskatchewan', 'Z97 5E3', '8080097697', 7, 'Condominium'),
('5632 Pine Boulevard', 'Kitchener', 'Saskatchewan', 'R53 7Z2', '5043882193', 7, 'House'),
('0641 Pine Road', 'Kelowna', 'Prince Edward Island', 'O53 7C8', '2435590556', 6, 'Semi-Detached House'),
('2625 Willow Terrace', 'Sherbrooke', 'British Columbia', 'A55 9N8', '3948414237', 1, 'Apartment'),
('9840 Hickory Drive', 'Lethbridge', 'Prince Edward Island', 'P54 6Q9', '3281604970', 1, 'Semi-Detached House'),
('8957 Hickory Court', 'London', 'Quebec', 'R37 1T7', '2763258602', 1, 'Apartment'),
('2276 Elm Avenue', 'Saint-Jérôme', 'British Columbia', 'Z62 5P1', '5429900621', 7, 'Apartment'),
